,state,division_name,polling_place_name,premises_suburb,latitude,longitude,geom
854,NSW,Farrer,Mathoura,MATHOURA,-35.8134,144.898,POINT (-35.8134 144.898)
855,NSW,Farrer,Mildura FARRER PPVC,MILDURA,-34.1861175,142.1642546,POINT (-34.1861175 142.1642546)
856,NSW,Farrer,Moama,MOAMA,-36.114623,144.7623497,POINT (-36.114623 144.7623497)
857,NSW,Farrer,Moulamein,MOULAMEIN,-35.089171,144.0335065,POINT (-35.089171 144.0335065)
858,NSW,Farrer,Mulwala,MULWALA,-35.9880064,146.0063004,POINT (-35.9880064 146.0063004)
859,NSW,Farrer,Murray Downs,MURRAY DOWNS,-35.3453611,143.5993074,POINT (-35.3453611 143.5993074)
860,NSW,Farrer,Narrandera,NARRANDERA,-34.7494,146.555,POINT (-34.7494 146.555)
861,NSW,Farrer,Narrandera East,NARRANDERA,-34.7435,146.566,POINT (-34.7435 146.566)
862,NSW,Farrer,Narrandera PPVC,NARRANDERA,-34.7464294,146.551518,POINT (-34.7464294 146.551518)
863,NSW,Farrer,Oaklands,OAKLANDS,-35.5526167,146.1698198,POINT (-35.5526167 146.1698198)
864,NSW,Farrer,Rankins Springs,RANKINS SPRINGS,-33.8418,146.262,POINT (-33.8418 146.262)
872,NSW,Farrer,Springdale Heights,SPRINGDALE HEIGHTS,-36.0319,146.95,POINT (-36.0319 146.95)
873,NSW,Farrer,Sydney (Farrer),SYDNEY,-33.8730501,151.2064528,POINT (-33.8730501 151.2064528)
874,NSW,Farrer,Table Top,TABLE TOP,-35.967892,147.0069981,POINT (-35.967892 147.0069981)
875,NSW,Farrer,Tharbogang,THARBOGANG,-34.2605645,145.9842136,POINT (-34.2605645 145.9842136)
876,NSW,Farrer,Thurgoona,THURGOONA,-36.047,146.983,POINT (-36.047 146.983)
877,NSW,Farrer,Thurgoona East,THURGOONA,-36.0493232,146.9915607,POINT (-36.0493232 146.9915607)
878,NSW,Farrer,Tocumwal,TOCUMWAL,-35.8143,145.568,POINT (-35.8143 145.568)
